Quebra;Quebra2;Empenho;Ano Empenho;Fundo;Descrição Fundo;Data;Credor;Nome Credor;Docto Credor;Ficha;Nº Contrato;Ano Contrato;Dotação;Órgão;Unidade;Função;SubFunção;Programa;Ação;Natureza;Categoria;Grupo da Despesa;Modalidade Aplicação;Elemento Despesa;Fonte;Aplicação;SubElemento;Atuação;Cód Conta;Conta;Projeto;Empenho;Estorno;Anulado;Não processado;Processado;Valor OP;OP Baixada;Saldo a pagar;Processo;Licitação;Tipo Licitação;Histórico
;;217;2021;;;02/01/2021;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;13;Folha de Pagto;757;45.000.003-4 - FOLHA DE PAGAMENTO TESOURO;600;4388,44;0;0;0;4388,44;4388,44;4388,44;0;23/2021;/;11 - FOLHA DE PAGAMENTO;
;;218;2021;;;02/01/2021;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;15;Folha de Pagto;757;45.000.003-4 - FOLHA DE PAGAMENTO TESOURO;600;148850,21;0;0;0;148850,21;148850,21;148850,21;0;23/2021;/;11 - FOLHA DE PAGAMENTO;
;;219;2021;;;02/01/2021;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;331;Folha de Pagto;757;45.000.003-4 - FOLHA DE PAGAMENTO TESOURO;600;54412,87;0;0;0;54412,87;54412,87;54412,87;0;23/2021;/;11 - FOLHA DE PAGAMENTO;
;;220;2021;;;02/01/2021;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;333;Folha de Pagto;757;45.000.003-4 - FOLHA DE PAGAMENTO TESOURO;600;1849,36;0;0;0;1849,36;1849,36;1849,36;0;23/2021;/;11 - FOLHA DE PAGAMENTO;
;;221;2021;;;02/01/2021;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;371;Folha de Pagto;757;45.000.003-4 - FOLHA DE PAGAMENTO TESOURO;600;87125,79;0;0;0;87125,79;87125,79;87125,79;0;23/2021;/;11 - FOLHA DE PAGAMENTO;
;;222;2021;;;02/01/2021;25577;Folha De Pagamento - Tesouro;;1117;;;70.01.3.1.90.11.13.122.0071.2.192.01;70;1;13;122;71;2192;319011;3;1;90;11;1;110000;373;Folha de Pagto;757;45.000.003-4 - FOLHA DE PAGAMENTO TESOURO;600;4456,22;0;0;0;4456,22;4456,22;4456,22;0;23/2021;/;11 - FOLHA DE PAGAMENTO;
;;251;2021;;;02/01/2021;34737;Empresa Brasileira De Correios E Telegrafos; CNPJ 34.028.316/0031-29;1127;;;70.01.3.3.90.39.13.122.0071.2.193.01;70;1;13;122;71;2193;339039;3;3;90;39;1;110000;47;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;2000;0;0;0;2000;2000;2000;0;/;/;67 - DISPENSA - INC.VIII - ART.24;
;;257;2021;;;02/01/2021;10792;Telefonica Brasil Sa; CNPJ 02.558.157/0001-62;1520;;;70.01.3.3.90.40.13.122.0071.2.193.01;70;1;13;122;71;2193;339040;3;3;90;40;1;110000;24;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;10000;0;10000;0;0;0;0;0;2646/2018;56/2019;28 - PREGÃO PRESENCIAL.;
;;259;2021;;;02/01/2021;20448;Digital Locacao E Comercio De Equipamentos De Impressao Ltda ; CNPJ 05.548.134/0001-65;1520;;;70.01.3.3.90.40.13.122.0071.2.193.01;70;1;13;122;71;2193;339040;3;3;90;40;1;110000;1;Fornecedor;252;07.400-4 - C/ MOVIMENTO;7108;730;6,64;0;0;723,36;723,36;723,36;0;5620/2014;42/2014;28 - PREGÃO PRESENCIAL.;
;;262;2021;;;02/01/2021;1315;Cooperativa Paulista De Teatro; CNPJ 51.561.819/0001-69;1144;;;70.10.3.3.90.39.13.392.0072.2.189.01;70;10;13;392;72;2189;339039;3;3;90;39;1;1000272;48;Fornecedor;785;83.821-7 - FUNDO DE APOIO A GESTÃO CULTURAL;7016;191316;0;0;0;191316;191316;191316;0;42532/2018;32/2015;28 - PREGÃO PRESENCIAL.;
