Quebra;Quebra2;Empenho;Ano Empenho;Fundo;Descrição Fundo;Data;Credor;Nome Credor;Docto Credor;Ficha;Nº Contrato;Ano Contrato;Dotação;Órgão;Unidade;Função;SubFunção;Programa;Ação;Natureza;Categoria;Grupo da Despesa;Modalidade Aplicação;Elemento Despesa;Fonte;Aplicação;SubElemento;Atuação;Cód Conta;Conta;Projeto;Empenho;Estorno;Anulado;Não processado;Processado;Valor OP;OP Baixada;Saldo a pagar;Processo;Licitação;Tipo Licitação;Histórico
;;57;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1024;;;70.01.3.1.90.11.13.122.0068.2.216.01;70;1;13;122;68;2216;319011;3;1;90;11;1;110000;13;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;855;0;0;0;855;855;855;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;58;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1024;;;70.01.3.1.90.11.13.122.0068.2.216.01;70;1;13;122;68;2216;319011;3;1;90;11;1;110000;432;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;2137,54;0;0;0;2137,54;2137,54;2137,54;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;158;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1024;;;70.01.3.1.90.11.13.122.0068.2.216.01;70;1;13;122;68;2216;319011;3;1;90;11;1;110000;451;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;6289,49;0;0;0;6289,49;6289,49;6289,49;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;159;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1026;;;70.01.3.1.90.16.13.122.0068.2.216.01;70;1;13;122;68;2216;319016;3;1;90;16;1;110000;44;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;1110,3;0;0;0;1110,3;1110,3;1110,3;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;160;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1043;;;70.10.3.1.90.11.13.392.0069.2.218.01;70;10;13;392;69;2218;319011;3;1;90;11;1;110000;451;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;34550,15;0;0;0;34550,15;34550,15;34550,15;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;161;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1043;;;70.10.3.1.90.11.13.392.0069.2.218.01;70;10;13;392;69;2218;319011;3;1;90;11;1;110000;993;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;3,1;0;0;0;3,1;3,1;3,1;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;162;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1045;;;70.10.3.1.90.16.13.392.0069.2.218.01;70;10;13;392;69;2218;319016;3;1;90;16;1;110000;44;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;5395,93;0;0;0;5395,93;5395,93;5395,93;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;163;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1119;;;70.50.3.1.90.11.13.122.0081.2.247.01;70;50;13;122;81;2247;319011;3;1;90;11;1;110000;451;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;6559,94;0;0;0;6559,94;6559,94;6559,94;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;425;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1024;;;70.01.3.1.90.11.13.122.0068.2.216.01;70;1;13;122;68;2216;319011;3;1;90;11;1;110000;11;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;3876,9;0;0;0;3876,9;3876,9;3876,9;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
;;426;2017;;;02/01/2017;25577;Folha De Pagamento - Tesouro;;1024;;;70.01.3.1.90.11.13.122.0068.2.216.01;70;1;13;122;68;2216;319011;3;1;90;11;1;110000;331;Folha de Pagto;274;25.396-0 - SALÁRIOS E REFLEXOS;600;134,93;0;0;0;134,93;134,93;134,93;0;49/2016;/;11 - FOLHA DE PAGAMENTO;
